stop_id,name,lat,lng,collected_at,ars_no,city_code,city_name,managing_city
BSB165940404,래미안4단지,35.21199497,129.0676535,2025-10-31,,21,부산광역시,부산BIS
BSB165940502,동래래미안아이파크,35.21136042,129.0708286,2025-10-31,,21,부산광역시,부산BIS
BSB165950101,효자암,35.21589193,129.0666713,2025-10-31,6029,21,부산광역시,부산BIS
BSB165950102,만덕터널입구,35.21220346,129.0578182,2025-10-31,6056,21,부산광역시,부산BIS
BSB165950201,대동아파트,35.2113638,129.066704,2025-10-31,,21,부산광역시,부산BIS
BSB165950202,래미안209동,35.21209734,129.0693636,2025-10-31,,21,부산광역시,부산BIS
BSB165950204,래미안201동,35.21187669,129.0677218,2025-10-31,,21,부산광역시,부산BIS
BSB165950401,화신아파트,35.21064652,129.0652323,2025-10-31,6058,21,부산광역시,부산BIS
BSB165950402,삼협아파트,35.2100364,129.0645985,2025-10-31,,21,부산광역시,부산BIS
BSB165950403,화신아파트,35.21071025,129.065315,2025-10-31,,21,부산광역시,부산BIS
BSB165950501,화신아파트,35.21150611,129.0659496,2025-10-31,,21,부산광역시,부산BIS
BSB165960101,화신아파트,35.19821456,129.0750535,2025-10-31,13002,21,부산광역시,부산BIS
BSB165960201,대선주조,35.19661496,129.0720732,2025-10-31,6135,21,부산광역시,부산BIS
BSB165960202,부산교육대학교후문,35.19696221,129.0729708,2025-10-31,,21,부산광역시,부산BIS
BSB165960203,화신아파트,35.19848368,129.0750032,2025-10-31,,21,부산광역시,부산BIS
BSB165970301,경보아파트,35.20732296,129.0627453,2025-10-31,,21,부산광역시,부산BIS
BSB165970302,달북초등학교,35.20360755,129.0610472,2025-10-31,,21,부산광역시,부산BIS
BSB165970303,동서산장아파트,35.20864407,129.0636398,2025-10-31,,21,부산광역시,부산BIS
BSB165970304,삼정그린코아포레스트,35.20437504,129.0617899,2025-10-31,,21,부산광역시,부산BIS
BSB165980101,경보아파트,35.20740397,129.0630473,2025-10-31,,21,부산광역시,부산BIS
BSB165980102,달북초등학교,35.20351412,129.0612832,2025-10-31,,21,부산광역시,부산BIS
BSB165980103,미남교,35.20880727,129.0640245,2025-10-31,,21,부산광역시,부산BIS
BSB165980104,삼정그린코아포레스트,35.2043589,129.0620816,2025-10-31,,21,부산광역시,부산BIS
BSB165980201,달북초등학교,35.20260912,129.0601005,2025-10-31,,21,부산광역시,부산BIS
BSB165980202,사직초등학교앞교차로,35.20117052,129.0564198,2025-10-31,,21,부산광역시,부산BIS
BSB165980203,사직고등학교,35.2019109,129.0593894,2025-10-31,,21,부산광역시,부산BIS
BSB165980301,온천중학교,35.20340144,129.059273,2025-10-31,,21,부산광역시,부산BIS
BSB165990301,온천초등학교,35.21197426,129.0732821,2025-10-31,6052,21,부산광역시,부산BIS
BSB166000201,롯데백화점동래점,35.2101971,129.0778307,2025-10-31,6046,21,부산광역시,부산BIS
BSB166000202,롯데백화점동래점,35.21029309,129.077841,2025-10-31,,21,부산광역시,부산BIS
BSB166000301,롯데백화점동래점남문,35.21082939,129.0776538,2025-10-31,,21,부산광역시,부산BIS
BSB166010201,롯데백화점동래점,35.21363606,129.0770179,2025-10-31,6078,21,부산광역시,부산BIS
BSB166010301,원예고등학교,35.21375416,129.0754154,2025-10-31,6028,21,부산광역시,부산BIS
BSB166010302,우장춘기념관,35.21288534,129.0730984,2025-10-31,,21,부산광역시,부산BIS
BSB166010303,유락여자중학교,35.21411501,129.0763469,2025-10-31,,21,부산광역시,부산BIS
BSB166020101,유락여자중학교,35.21387362,129.0762788,2025-10-31,,21,부산광역시,부산BIS
BSB166020201,온천초등학교,35.2118109,129.0730189,2025-10-31,6051,21,부산광역시,부산BIS
BSB166020301,우장춘기념관,35.21247892,129.0719199,2025-10-31,6054,21,부산광역시,부산BIS
BSB166030101,동래래미안아이파크,35.21071874,129.0736002,2025-10-31,6049,21,부산광역시,부산BIS
BSB166030201,럭키아파트후문,35.20987713,129.0754593,2025-10-31,6048,21,부산광역시,부산BIS
BSB166030202,럭키동래아파트후문,35.2093999,129.076852,2025-10-31,,21,부산광역시,부산BIS
BSB166030203,사랑의집,35.21009032,129.07469,2025-10-31,,21,부산광역시,부산BIS
BSB166030301,동래래미안아이파크,35.2101696,129.0731147,2025-10-31,6050,21,부산광역시,부산BIS
BSB166030302,럭키아파트,35.20847837,129.0728207,2025-10-31,6064,21,부산광역시,부산BIS
BSB166030402,우리은행온천점,35.21009075,129.0730869,2025-10-31,,21,부산광역시,부산BIS
BSB166040101,럭키아파트,35.20838319,129.0731009,2025-10-31,6065,21,부산광역시,부산BIS
BSB166040201,동래럭키아파트,35.2060157,129.0738019,2025-10-31,6084,21,부산광역시,부산BIS
BSB166040202,광혜병원,35.20642477,129.0727933,2025-10-31,6086,21,부산광역시,부산BIS
BSB166060201,럭키주유소,35.2091947,129.077581,2025-10-31,6047,21,부산광역시,부산BIS
BSB166060301,동래럭키아파트후문,35.20943383,129.0775006,2025-10-31,,21,부산광역시,부산BIS
BSB166060302,사랑의집,35.21004899,129.0755234,2025-10-31,,21,부산광역시,부산BIS
BSB166070203,안락뜨란채삼거리,35.19505518,129.109835,2025-10-31,6703,21,부산광역시,부산BIS
BSB166070204,부산원동역,35.19455064,129.1126707,2025-10-31,6701,21,부산광역시,부산BIS
BSB166100101,세병교,35.19748078,129.0839482,2025-10-31,6245,21,부산광역시,부산BIS
BSB166110101,혜화여자중학교,35.20481028,129.1099991,2025-10-31,,21,부산광역시,부산BIS
BSB166110301,명장시장,35.20472168,129.1074635,2025-10-31,6213,21,부산광역시,부산BIS
BSB166120101,SK뷰아파트101동,35.20445948,129.1127286,2025-10-31,,21,부산광역시,부산BIS
BSB166120102,우방일동아파트,35.20425598,129.1158,2025-10-31,,21,부산광역시,부산BIS
BSB166130101,협진태양맨션,35.21001727,129.1047621,2025-10-31,6203,21,부산광역시,부산BIS
BSB166140201,식물원입구,35.22408048,129.0821554,2025-10-31,6002,21,부산광역시,부산BIS
BSB166140202,온천시장(목욕타운),35.22320573,129.083263,2025-10-31,,21,부산광역시,부산BIS
BSB166140203,경보아파트교차로,35.22403444,129.0822164,2025-10-31,,21,부산광역시,부산BIS
BSB166140301,식물원입구,35.22414572,129.0816595,2025-10-31,11097,21,부산광역시,부산BIS
BSB166140401,경보아파트교차로,35.22462983,129.0815138,2025-10-31,,21,부산광역시,부산BIS
BSB166150101,식물원입구,35.22367748,129.0817145,2025-10-31,6001,21,부산광역시,부산BIS
BSB166150301,온천시장,35.22207617,129.0809209,2025-10-31,6003,21,부산광역시,부산BIS
BSB174170201,태광산업(구서역),35.2480888,129.0920497,2025-10-31,11058,21,부산광역시,부산BIS
BSB174170401,태광산업.구서역,35.24911415,129.0921268,2025-10-31,11057,21,부산광역시,부산BIS
BSB174180201,태광산업.구서역,35.24917684,129.0916758,2025-10-31,11171,21,부산광역시,부산BIS
BSB174180301,행림병원,35.25378788,129.0915436,2025-10-31,11051,21,부산광역시,부산BIS
BSB174200201,구서역.금정경찰서,35.24552588,129.0923217,2025-10-31,11248,21,부산광역시,부산BIS
BSB174220201,금양초등학교,35.24091825,129.0925639,2025-10-31,,21,부산광역시,부산BIS
BSB174230301,금정구청.부산가톨릭대,35.2422374,129.0927706,2025-10-31,11068,21,부산광역시,부산BIS
BSB174230302,금정구청,35.24231835,129.0927838,2025-10-31,,21,부산광역시,부산BIS
BSB174240101,GS슈퍼(금정구청),35.24331092,129.0940824,2025-10-31,,21,부산광역시,부산BIS
BSB174250101,초원맨션,35.24144453,129.093761,2025-10-31,,21,부산광역시,부산BIS
BSB174250201,부곡3동주민센터,35.24080544,129.0938063,2025-10-31,,21,부산광역시,부산BIS
BSB174290201,구서역3번출구,35.24809364,129.0910703,2025-10-31,,21,부산광역시,부산BIS
BSB174290301,롯데캐슬1단지,35.24952167,129.08944,2025-10-31,11183,21,부산광역시,부산BIS
BSB174290302,이마트,35.24910319,129.0902723,2025-10-31,,21,부산광역시,부산BIS
BSB174300101,부산정보관광고,35.22368641,129.0912888,2025-10-31,11119,21,부산광역시,부산BIS
